DBN,School Name,NumberofTestTakers,CriticalReadingMean,MathematicsMean,WritingMean
28Q440,FOREST HILLS HIGH SCHOOL ,Alto,468,491,462
28Q470,JAMAICA HIGH SCHOOL ,Alto,393,400,391
28Q505,HILLCREST HIGH SCHOOL ,Alto,385,400,385
28Q620,Thomas Edison Vocational-Technical High School ,Alto,455,490,439
28Q680,Queens Gateway to Health Sciences Secondary Schoo ,Medio,525,532,515
28Q687,QUEENS HS FOR SCIENCE YORK COL ,Medio,613,650,612
28Q690,High School For Law Enforcement And Public Safety ,Medio,408,429,412
28Q896,Young Women's Leadership High School ,Bajo,,,
29Q248,QUEENS PREPARATORY ACADEMY ,Medio,372,388,381
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL ,Medio,406,415,394
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL ,Medio,394,358,388
29Q272,GEORGE WASHINGTON CARVER HS ,Medio,425,435,418
29Q283,PREPARATORY ACADEMY FOR WRITERS ,Bajo,413,402,388
29Q420,Springfield Gardens High School ,Bajo,429,402,403
29Q492,MATH SCIENCE RESEARCH TECH MAG ,Medio,405,430,405
29Q494,LAW GOVERNMENT SERVICE MAGNET ,Medio,406,412,391
29Q496,BUSINESS COMPUTER APPLICATION ,Medio,388,389,380
29Q498,Humanities and Arts Magnet High School ,Medio,383,371,370
30Q301,Academy for Careers in Television and Film ,Bajo,,,
30Q445,WILLIAM C BRYANT HIGH SCHOOL ,Alto,405,456,408
30Q450,LONG ISLAND CITY HIGH SCHOOL ,Alto,418,434,408
30Q501,Frank Sinatra School of the Arts ,Alto,506,495,499
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL ,Alto,440,452,424
30Q555,NEWCOMERS HIGH SCHOOL ,Alto,343,447,346
30Q575,ACADEMY OF AMERICAN STUDIES ,Alto,502,505,515
30Q580,BACCALAUREATE SCH GLOBAL EDUC ,Medio,560,587,570
31R064,Gaynor McCown Expeditionary Learning School ,Bajo,,,
31R080,MICHAEL J PETRIDES SCHOOL ,Medio,508,523,502
31R440,NEW DORP HIGH SCHOOL ,Alto,431,446,434
31R445,PORT RICHMOND HIGH SCHOOL ,Alto,437,442,425
31R450,CURTIS HIGH SCHOOL ,Alto,439,441,430
31R455,TOTTENVILLE HIGH SCHOOL ,Alto,459,482,467
31R460,SUSAN E WAGNER HIGH SCHOOL ,Alto,463,482,457
31R470,CONCORD HIGH SCHOOL ,Bajo,474,431,397
31R600,RALPH MCKEE VOC-TECH HIGH SCH ,Medio,411,429,386
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL ,Alto,638,673,617
32K403,ACADEMY OF ENVIRONMENTAL LEADERSHIP ,Medio,382,369,374
32K480,Bushwick High School ,Bajo,,,
32K545,EBC High School for Public Service - Bushwick ,Medio,389,390,376
32K549,BUSHWICK HS FOR SOCIAL JUSTICE ,Medio,363,364,358
32K552,Academy of Urban Planning ,Medio,355,361,353
32K554,ALL CITY LEADERSHIP SECONDARY ,Bajo,394,420,395
32K556,Bushwick Leaders High School for Academic Excel ,Medio,357,345,351
72X470,South Bronx High School ,Bajo,,,
75K371,LILLIAN L RASHKIS HS P371K ,Bajo,,,
75M035,MANHATTAN HIGH SCHOOL - P35M ,Bajo,,,
75Q004,P4Q SCHOOL (@ 179) ,Bajo,,,
75Q256,P256 QUEENS SCHOOL @ SAINT MARY'S ,Bajo,,,
75R025,South Richmond High School ,Bajo,407,421,400
75X012,PS12X LEWIS AND CLARK SCHOOL ,Bajo,,,
75X754,P754 X - Jeffrey M. Rapport School for Career Devt ,Bajo,,,
76K460,John Jay High School ,Bajo,390,381,398
79X490,PHOENIX SCHOOL ,Bajo,404,423,416
