DBN,School Name,NumberofTestTakers,CriticalReadingMean,MathematicsMean,WritingMean
05M670,THURGOOD MARSHALL ACADEMY ,Medio,423,434,404
05M685,Bread & Rose Intergrated Arts High School ,Medio,364,378,359
05M692,High School For Math Science Engineering City Coll ,Alto,592,627,575
06M293,MS 293 City College Academy of the Arts ,Bajo,,,
06M346,Community Health Academy Heights ,Bajo,,,
06M348,MS 348 Washington Heights Expeditionary Learning S ,Bajo,,,
06M457,YABC AT G. WASHINGTON EDUCATIONAL CAMPUS ,Bajo,,,
06M462,HIGH SCHOOL FOR INTL BUS/FIN ,Medio,383,384,379
06M463,HS for Media and Communications-George Washingto ,Medio,366,376,353
06M467,High School for Law and Public Service ,Alto,388,388,378
06M468,HIGH SCHOOL FOR HLTH CARER/SER ,Bajo,385,417,373
06M540,A Philip Randolph Campus High School ,Alto,436,451,421
06M552,GREGORIO LUPERON PREP SCHOOL ,Medio,342,384,333
07X221,SOUTH BRONX PREPARATORY ,Medio,399,393,382
07X321,CROTANA ACADEMY HIGH SCHOOL ,Bajo,,,
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL ,Medio,322,335,327
07X379,Jill Chaifetz Transfer High School ,Bajo,,,
07X381,BRONX HAVEN HIGH SCHOOL ,Bajo,335,342,372
07X427,Community High School Social Justice ,Medio,372,351,359
07X473,Mott Haven Village Preparatory High School ,Medio,345,352,349
07X495,UNIVERSITY HEIGHTS HIGH SCHOOL ,Medio,401,388,396
07X500,HOSTOS-LINCOLN ACADEMY SCIENCE ,Medio,460,455,457
07X520,FOREIGN LANGUAGE ACADEMY ,Medio,418,429,415
07X527,Bronx Leadership Academy II High School ,Medio,377,381,379
07X547,NEW EXPLORERS HIGH SCHOOL ,Medio,382,376,376
07X548,Urban Assembly School for Careers in Sports ,Medio,381,423,384
07X551,Bronx Academy of Letters ,Medio,416,406,435
07X600,ALFRED E SMITH HIGH SCHOOL ,Medio,367,372,354
07X655,Samuel Gompers Vocational Technical High School ,Alto,370,385,354
07X670,Health Opportunities High School ,Medio,400,391,387
08X282,YOUNG WOMEN'S LEADERSHIP SCH BRONX CMP ,Medio,395,407,388
08X293,Renaissance High School Music Theater T ,Medio,389,375,375
08X295,Gateway School for Environmental Research & Tech ,Medio,377,367,368
08X305,Pablo Neruda Academy Architecture & World Studies ,Medio,359,358,338
08X312,MILLENNIUM ART ACADEMY ,Medio,380,389,371
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY ,Medio,374,362,366
08X377,BRONX COMMUNITY HIGH SCHOOL (X377) ,Bajo,416,393,414
08X405,HERBERT H LEHMAN HIGH SCHOOL ,Alto,414,433,397
08X408,YABC AT HERBERT H. LEHMAN HIGH SCHOOL ,Bajo,358,343,385
08X450,ADLAI E STEVENSON HIGH SCHOOL ,Bajo,,,
08X452,The Bronx Guild High School ,Medio,381,361,352
08X507,YABC AT ADLAI STEVENSON HIGH SCHOOL ,Bajo,,,
08X519,Felisa Rincon de Gautier Inst for Law & Pub Policy ,Medio,373,376,367
08X530,BANANA KELLY HIGH SCHOOL ,Medio,377,382,368
08X540,HIGH SCHOOL CMTY RESEARCH LRN ,Bajo,356,376,368
08X560,BRONX ACADEMY HIGH SCHOOL ,Bajo,373,354,364
08X650,Jane Addams Vocational High School ,Alto,370,377,363
09X227,Bronx Expeditionary Learning High School ,Medio,371,358,343
09X231,Eagle Academy for Young Men ,Medio,391,399,386
09X239,Urban Assembly Academy History & Citizenship ,Bajo,359,380,371
09X241,Urban Assembly School for Applied Math Science ,Bajo,,,
09X250,EXIMIUS COLLEGE PREP ACADEMY ,Medio,401,383,387
09X252,MOTT HALL BRONX HIGH SCHOOL ,Medio,395,398,399
09X260,Bronx Center for Science and Mathematics ,Medio,447,495,454
09X263,VALIDUS PREPARATORY ACADEMY ,Medio,359,347,356
09X276,LEADERSHIP INSTITUTE ,Bajo,362,380,358
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIE ,Bajo,388,352,378
09X329,DREAMYARD PREPARATORY SCHOOL ,Medio,394,404,389
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY ,Bajo,,,
09X403,Bronx International High School ,Medio,335,335,340
09X404,HIGH SCHOOL FOR EXCELLENCE ,Medio,366,373,371
09X412,BRONX HIGH SCHOOL OF BUSINESS ,Medio,369,397,366
09X413,HIGH SCHOOL MEDICAL SCIENCES ,Medio,423,450,435
09X414,Jonathan Levin HS for Media and Communications ,Medio,347,353,351
09X505,BRONX SCH LAW GOVMT & JUSTICE ,Medio,413,390,420
09X517,Frederick Douglass Academy III Secondary School ,Medio,399,414,406
09X525,Bronx Leadership Academy High School ,Alto,402,397,396
09X543,HIGH SCHOOL VIOLIN AND DANCE ,Bajo,332,379,337
